n_distributor_id,dist_name,scan_date,time_slot,challan_count,total_line_items,item_value,quantity
36834,AK Pharma - Belgaum,2022-05-05,2022-05-05 16:00:00,9,98,26175.63,408.0
36834,AK Pharma - Belgaum,2022-05-05,2022-05-05 18:00:00,11,69,29407.79,297.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 19:00:00,16,67,16123.14,228.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 20:00:00,6,39,10728.23,110.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 14:00:00,18,86,20074.2,238.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 16:00:00,5,21,6854.17,100.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 22:00:00,1,3,526.81,13.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 12:00:00,38,174,66292.58,737.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 08:00:00,1,8,1252.46,25.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 10:00:00,7,31,9981.03,159.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 15:00:00,13,42,15760.67,137.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 11:00:00,16,84,18651.14,336.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 18:00:00,7,25,12469.63,179.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 13:00:00,26,131,47695.37,1019.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 17:00:00,12,75,18046.95,260.0
36834,AK Pharma - Belgaum,2022-05-06,2022-05-06 21:00:00,2,22,9500.9,83.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 19:00:00,16,123,22395.93,501.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 14:00:00,17,114,30369.81,388.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 12:00:00,50,213,63538.79,882.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 11:00:00,23,109,25313.79,357.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 20:00:00,5,18,2165.75,80.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 10:00:00,5,28,7371.63,93.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 15:00:00,18,144,35032.55,487.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 21:00:00,1,5,1018.17,16.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 13:00:00,30,180,44347.44,723.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 18:00:00,15,90,22889.53,343.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 16:00:00,10,40,11855.2,166.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 09:00:00,2,9,2420.41,25.0
36834,AK Pharma - Belgaum,2022-05-07,2022-05-07 17:00:00,14,72,20216.44,247.0
36834,AK Pharma - Belgaum,2022-05-08,2022-05-08 22:00:00,2,5,455.42,18.0
36834,AK Pharma - Belgaum,2022-05-08,2022-05-08 23:00:00,1,4,492.74,7.0
36834,AK Pharma - Belgaum,2022-05-08,2022-05-08 21:00:00,1,6,2144.54,14.0
36834,AK Pharma - Belgaum,2022-05-08,2022-05-08 10:00:00,1,2,336.86,13.0
36834,AK Pharma - Belgaum,2022-05-08,2022-05-08 12:00:00,1,4,4706.97,15.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 10:00:00,4,35,8427.69,145.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 14:00:00,26,171,56688.97,879.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 17:00:00,17,105,22976.46,421.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 22:00:00,1,23,7236.7,104.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 18:00:00,24,173,55347.95,929.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 13:00:00,37,250,70116.37,1050.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 09:00:00,1,6,1464.78,19.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 11:00:00,23,198,40900.79,652.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 19:00:00,15,73,20115.91,257.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 23:00:00,1,7,726.39,10.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 15:00:00,14,70,29635.79,284.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 16:00:00,12,38,13577.73,226.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 12:00:00,44,243,80983.93,1294.0
36834,AK Pharma - Belgaum,2022-05-09,2022-05-09 20:00:00,13,74,17863.09,382.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 10:00:00,1,12,3858.04,61.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 16:00:00,8,28,14087.12,153.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 20:00:00,7,23,7878.12,125.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 12:00:00,42,201,52594.08,855.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 17:00:00,12,58,17838.3,202.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 13:00:00,25,148,47902.7,681.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 15:00:00,11,101,29531.15,385.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 14:00:00,21,101,29456.39,507.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 19:00:00,11,38,7730.85,153.0
