distance,s_lon,s_lat,d_lon,d_lat,from_customer_code,to_customer_code
3096.06,72.6064441,22.9507582,72.62749795,22.9464157,28180.0,25164.0
1521.97,72.6064441,22.9507582,72.596658,22.9489666,28180.0,27927.0
1530.41,72.6064441,22.9507582,72.6177396,22.9495918,28180.0,28431.0
976.13,72.6064441,22.9507582,72.6012897,22.9497371,28180.0,28211.0
2007.36,72.6064441,22.9507582,72.620879,22.9504011,28180.0,28337.0
0.0,72.6064441,22.9507582,72.6064441,22.9507582,28180.0,28180.0
1879.95,72.6064441,22.9507582,72.6197743,22.9509777,28180.0,26134.0
23990.46,72.6064441,22.9507582,72.4509436,22.91267775,28180.0,28398.0
9541.11,72.6197743,22.9509777,72.56451515,22.9323376,26134.0,28781.0
3026.7,72.6197743,22.9509777,72.5949716,22.9463966,26134.0,28764.0
1216.11,72.6197743,22.9509777,72.62749795,22.9464157,26134.0,25164.0
3068.88,72.6197743,22.9509777,72.596658,22.9489666,26134.0,27927.0
410.63,72.6197743,22.9509777,72.6177396,22.9495918,26134.0,28431.0
2523.04,72.6197743,22.9509777,72.6012897,22.9497371,26134.0,28211.0
127.41,72.6197743,22.9509777,72.620879,22.9504011,26134.0,28337.0
1879.95,72.6197743,22.9509777,72.6064441,22.9507582,26134.0,28180.0
0.0,72.6197743,22.9509777,72.6197743,22.9509777,26134.0,26134.0
26344.59,72.6197743,22.9509777,72.4509436,22.91267775,26134.0,28398.0
20474.29,72.4509436,22.91267775,72.56451515,22.9323376,28398.0,28781.0
25913.17,72.4509436,22.91267775,72.5949716,22.9463966,28398.0,28764.0
28727.46,72.4509436,22.91267775,72.62749795,22.9464157,28398.0,25164.0
26341.82,72.4509436,22.91267775,72.596658,22.9489666,28398.0,27927.0
28275.17,72.4509436,22.91267775,72.6177396,22.9495918,28398.0,28431.0
26786.63,72.4509436,22.91267775,72.6012897,22.9497371,28398.0,28211.0
29152.99,72.4509436,22.91267775,72.620879,22.9504011,28398.0,28337.0
28436.78,72.4509436,22.91267775,72.6064441,22.9507582,28398.0,28180.0
29025.58,72.4509436,22.91267775,72.6197743,22.9509777,28398.0,26134.0
0.0,72.4509436,22.91267775,72.4509436,22.91267775,28398.0,28398.0
0.0,72.5963398,22.9513404,72.5963398,22.9513404,28322.0,28322.0
456.61,72.5963398,22.9513404,72.5980818,22.9536914,28322.0,25807.0
4367.69,72.5963398,22.9513404,72.6305265,22.9542169,28322.0,28328.0
3601.09,72.5963398,22.9513404,72.6238075,22.954493,28322.0,28512.0
3958.13,72.5963398,22.9513404,72.6263893,22.9548016,28322.0,28323.0
3657.32,72.5963398,22.9513404,72.6238417,22.9549884,28322.0,28576.0
3695.08,72.5963398,22.9513404,72.6241718,22.9552096,28322.0,25869.0
739.7,72.5963398,22.9513404,72.594209,22.9563561,28322.0,28425.0
1312.03,72.5963398,22.9513404,72.5885043,22.9566115,28322.0,26566.0
24238.42,72.5963398,22.9513404,72.4509436,22.91267775,28322.0,28398.0
456.61,72.5980818,22.9536914,72.5963398,22.9513404,25807.0,28322.0
0.0,72.5980818,22.9536914,72.5980818,22.9536914,25807.0,25807.0
3911.08,72.5980818,22.9536914,72.6305265,22.9542169,25807.0,28328.0
3144.47,72.5980818,22.9536914,72.6238075,22.954493,25807.0,28512.0
3501.52,72.5980818,22.9536914,72.6263893,22.9548016,25807.0,28323.0
3200.71,72.5980818,22.9536914,72.6238417,22.9549884,25807.0,28576.0
3238.47,72.5980818,22.9536914,72.6241718,22.9552096,25807.0,25869.0
699.27,72.5980818,22.9536914,72.594209,22.9563561,25807.0,28425.0
1271.59,72.5980818,22.9536914,72.5885043,22.9566115,25807.0,26566.0
24197.99,72.5980818,22.9536914,72.4509436,22.91267775,25807.0,28398.0
4367.69,72.6305265,22.9542169,72.5963398,22.9513404,28328.0,28322.0
3911.08,72.6305265,22.9542169,72.5980818,22.9536914,28328.0,25807.0
0.0,72.6305265,22.9542169,72.6305265,22.9542169,28328.0,28328.0
782.18,72.6305265,22.9542169,72.6238075,22.954493,28328.0,28512.0
640.6,72.6305265,22.9542169,72.6263893,22.9548016,28328.0,28323.0
838.42,72.6305265,22.9542169,72.6238417,22.9549884,28328.0,28576.0
876.18,72.6305265,22.9542169,72.6241718,22.9552096,28328.0,25869.0
5953.83,72.6305265,22.9542169,72.594209,22.9563561,28328.0,28425.0
6028.13,72.6305265,22.9542169,72.5885043,22.9566115,28328.0,26566.0
26963.81,72.6305265,22.9542169,72.4509436,22.91267775,28328.0,28398.0
3601.09,72.6238075,22.954493,72.5963398,22.9513404,28512.0,28322.0
3144.47,72.6238075,22.954493,72.5980818,22.9536914,28512.0,25807.0
782.18,72.6238075,22.954493,72.6305265,22.9542169,28512.0,28328.0
0.0,72.6238075,22.954493,72.6238075,22.954493,28512.0,28512.0
372.62,72.6238075,22.954493,72.6263893,22.9548016,28512.0,28323.0
56.24,72.6238075,22.954493,72.6238417,22.9549884,28512.0,28576.0
94.0,72.6238075,22.954493,72.6241718,22.9552096,28512.0,25869.0
5304.08,72.6238075,22.954493,72.594209,22.9563561,28512.0,28425.0
5378.39,72.6238075,22.954493,72.5885043,22.9566115,28512.0,26566.0
27003.72,72.6238075,22.954493,72.4509436,22.91267775,28512.0,28398.0
3958.13,72.6263893,22.9548016,72.5963398,22.9513404,28323.0,28322.0
3501.52,72.6263893,22.9548016,72.5980818,22.9536914,28323.0,25807.0
640.6,72.6263893,22.9548016,72.6305265,22.9542169,28323.0,28328.0
372.62,72.6263893,22.9548016,72.6238075,22.954493,28323.0,28512.0
0.0,72.6263893,22.9548016,72.6263893,22.9548016,28323.0,28323.0
428.86,72.6263893,22.9548016,72.6238417,22.9549884,28323.0,28576.0
466.62,72.6263893,22.9548016,72.6241718,22.9552096,28323.0,25869.0
5313.23,72.6263893,22.9548016,72.594209,22.9563561,28323.0,28425.0
5387.53,72.6263893,22.9548016,72.5885043,22.9566115,28323.0,26566.0
26554.25,72.6263893,22.9548016,72.4509436,22.91267775,28323.0,28398.0
3657.32,72.6238417,22.9549884,72.5963398,22.9513404,28576.0,28322.0
3200.71,72.6238417,22.9549884,72.5980818,22.9536914,28576.0,25807.0
838.42,72.6238417,22.9549884,72.6305265,22.9542169,28576.0,28328.0
56.24,72.6238417,22.9549884,72.6238075,22.954493,28576.0,28512.0
428.86,72.6238417,22.9549884,72.6263893,22.9548016,28576.0,28323.0
0.0,72.6238417,22.9549884,72.6238417,22.9549884,28576.0,28576.0
37.76,72.6238417,22.9549884,72.6241718,22.9552096,28576.0,25869.0
5393.1,72.6238417,22.9549884,72.594209,22.9563561,28576.0,28425.0
5467.41,72.6238417,22.9549884,72.5885043,22.9566115,28576.0,26566.0
27059.96,72.6238417,22.9549884,72.4509436,22.91267775,28576.0,28398.0
3695.08,72.6241718,22.9552096,72.5963398,22.9513404,25869.0,28322.0
3238.47,72.6241718,22.9552096,72.5980818,22.9536914,25869.0,25807.0
876.18,72.6241718,22.9552096,72.6305265,22.9542169,25869.0,28328.0
94.0,72.6241718,22.9552096,72.6238075,22.954493,25869.0,28512.0
466.62,72.6241718,22.9552096,72.6263893,22.9548016,25869.0,28323.0
37.76,72.6241718,22.9552096,72.6238417,22.9549884,25869.0,28576.0
0.0,72.6241718,22.9552096,72.6241718,22.9552096,25869.0,25869.0
5355.34,72.6241718,22.9552096,72.594209,22.9563561,25869.0,28425.0
5429.65,72.6241718,22.9552096,72.5885043,22.9566115,25869.0,26566.0
27097.72,72.6241718,22.9552096,72.4509436,22.91267775,25869.0,28398.0
739.7,72.594209,22.9563561,72.5963398,22.9513404,28425.0,28322.0
699.27,72.594209,22.9563561,72.5980818,22.9536914,28425.0,25807.0
5190.76,72.594209,22.9563561,72.6305265,22.9542169,28425.0,28328.0
4495.5,72.594209,22.9563561,72.6238075,22.954493,28425.0,28512.0
4550.15,72.594209,22.9563561,72.6263893,22.9548016,28425.0,28323.0
4401.88,72.594209,22.9563561,72.6238417,22.9549884,28425.0,28576.0
4364.12,72.594209,22.9563561,72.6241718,22.9552096,28425.0,25869.0
0.0,72.594209,22.9563561,72.594209,22.9563561,28425.0,28425.0
572.33,72.594209,22.9563561,72.5885043,22.9566115,28425.0,26566.0
24193.51,72.594209,22.9563561,72.4509436,22.91267775,28425.0,28398.0
1313.87,72.5885043,22.9566115,72.5963398,22.9513404,26566.0,28322.0
1273.44,72.5885043,22.9566115,72.5980818,22.9536914,26566.0,25807.0
5763.08,72.5885043,22.9566115,72.6305265,22.9542169,26566.0,28328.0
5067.82,72.5885043,22.9566115,72.6238075,22.954493,26566.0,28512.0
5122.48,72.5885043,22.9566115,72.6263893,22.9548016,26566.0,28323.0
4974.21,72.5885043,22.9566115,72.6238417,22.9549884,26566.0,28576.0
4936.45,72.5885043,22.9566115,72.6241718,22.9552096,26566.0,25869.0
572.33,72.5885043,22.9566115,72.594209,22.9563561,26566.0,28425.0
0.0,72.5885043,22.9566115,72.5885043,22.9566115,26566.0,26566.0
24267.81,72.5885043,22.9566115,72.4509436,22.91267775,26566.0,28398.0
26623.57,72.4509436,22.91267775,72.5963398,22.9513404,28398.0,28322.0
28803.32,72.4509436,22.91267775,72.5980818,22.9536914,28398.0,25807.0
29644.8,72.4509436,22.91267775,72.6305265,22.9542169,28398.0,28328.0
29684.71,72.4509436,22.91267775,72.6238075,22.954493,28398.0,28512.0
29235.24,72.4509436,22.91267775,72.6263893,22.9548016,28398.0,28323.0
29740.95,72.4509436,22.91267775,72.6238417,22.9549884,28398.0,28576.0
29778.71,72.4509436,22.91267775,72.6241718,22.9552096,28398.0,25869.0
28102.21,72.4509436,22.91267775,72.594209,22.9563561,28398.0,28425.0
26790.97,72.4509436,22.91267775,72.5885043,22.9566115,28398.0,26566.0
0.0,72.6047225,22.9566882,72.6047225,22.9566882,28513.0,28513.0
3789.99,72.6047225,22.9566882,72.58406155,22.95750085,28513.0,28357.0
2714.97,72.6047225,22.9566882,72.62440145,22.95860155,28513.0,28324.0
9580.44,72.6047225,22.9566882,72.54110335,22.95933055,28513.0,28333.0
1364.98,72.6047225,22.9566882,72.61400795,22.9593406,28513.0,25229.0
3857.86,72.6047225,22.9566882,72.584812,22.9594479,28513.0,27272.0
1338.89,72.6047225,22.9566882,72.6131675,22.9605003,28513.0,28515.0
1174.98,72.6047225,22.9566882,72.61104475,22.96073955,28513.0,28617.0
642.12,72.6047225,22.9566882,72.60436985,22.96074855,28513.0,26943.0
23826.62,72.6047225,22.9566882,72.4509436,22.91267775,28513.0,28398.0
3047.15,72.58406155,22.95750085,72.6047225,22.9566882,28357.0,28513.0
0.0,72.58406155,22.95750085,72.58406155,22.95750085,28357.0,28357.0
5299.41,72.58406155,22.95750085,72.62440145,22.95860155,28357.0,28324.0
5924.53,72.58406155,22.95750085,72.54110335,22.95933055,28357.0,28333.0
3949.43,72.58406155,22.95750085,72.61400795,22.9593406,28357.0,25229.0
299.07,72.58406155,22.95750085,72.584812,22.9594479,28357.0,27272.0
3923.34,72.58406155,22.95750085,72.6131675,22.9605003,28357.0,28515.0
3759.43,72.58406155,22.95750085,72.61104475,22.96073955,28357.0,28617.0
2904.34,72.58406155,22.95750085,72.60436985,22.96074855,28357.0,26943.0
24939.27,72.58406155,22.95750085,72.4509436,22.91267775,28357.0,28398.0
2897.61,72.62440145,22.95860155,72.6047225,22.9566882,28324.0,28513.0
5725.59,72.62440145,22.95860155,72.58406155,22.95750085,28324.0,28357.0
0.0,72.62440145,22.95860155,72.62440145,22.95860155,28324.0,28324.0
11516.03,72.62440145,22.95860155,72.54110335,22.95933055,28324.0,28333.0
1911.25,72.62440145,22.95860155,72.61400795,22.9593406,28324.0,25229.0
5793.46,72.62440145,22.95860155,72.584812,22.9594479,28324.0,27272.0
2128.9,72.62440145,22.95860155,72.6131675,22.9605003,28324.0,28515.0
1964.99,72.62440145,22.95860155,72.61104475,22.96073955,28324.0,28617.0
2577.72,72.62440145,22.95860155,72.60436985,22.96074855,28324.0,26943.0
25762.21,72.62440145,22.95860155,72.4509436,22.91267775,28324.0,28398.0
9704.4,72.54110335,22.95933055,72.6047225,22.9566882,28333.0,28513.0
5924.53,72.54110335,22.95933055,72.58406155,22.95750085,28333.0,28357.0
11457.36,72.54110335,22.95933055,72.62440145,22.95860155,28333.0,28324.0
0.0,72.54110335,22.95933055,72.54110335,22.95933055,28333.0,28333.0
10107.37,72.54110335,22.95933055,72.61400795,22.9593406,28333.0,25229.0
5625.46,72.54110335,22.95933055,72.584812,22.9594479,28333.0,27272.0
10081.29,72.54110335,22.95933055,72.6131675,22.9605003,28333.0,28515.0
9917.38,72.54110335,22.95933055,72.61104475,22.96073955,28333.0,28617.0
9062.28,72.54110335,22.95933055,72.60436985,22.96074855,28333.0,26943.0
19024.17,72.54110335,22.95933055,72.4509436,22.91267775,28333.0,28398.0
1364.98,72.61400795,22.9593406,72.6047225,22.9566882,25229.0,28513.0
4192.96,72.61400795,22.9593406,72.58406155,22.95750085,25229.0,28357.0
1728.61,72.61400795,22.9593406,72.62440145,22.95860155,25229.0,28324.0
9983.41,72.61400795,22.9593406,72.54110335,22.95933055,25229.0,28333.0
0.0,72.61400795,22.9593406,72.61400795,22.9593406,25229.0,25229.0
4260.83,72.61400795,22.9593406,72.584812,22.9594479,25229.0,27272.0
596.27,72.61400795,22.9593406,72.6131675,22.9605003,25229.0,28515.0
432.37,72.61400795,22.9593406,72.61104475,22.96073955,25229.0,28617.0
1045.09,72.61400795,22.9593406,72.60436985,22.96074855,25229.0,26943.0
24229.59,72.61400795,22.9593406,72.4509436,22.91267775,25229.0,28398.0
5454.33,72.584812,22.9594479,72.6047225,22.9566882,27272.0,28513.0
299.07,72.584812,22.9594479,72.58406155,22.95750085,27272.0,28357.0
7207.28,72.584812,22.9594479,72.62440145,22.95860155,27272.0,28324.0
5625.46,72.584812,22.9594479,72.54110335,22.95933055,27272.0,28333.0
5857.3,72.584812,22.9594479,72.61400795,22.9593406,27272.0,25229.0
0.0,72.584812,22.9594479,72.584812,22.9594479,27272.0,27272.0
