unit_name,month,Intercity cost (Actual),Mid mile (Actual)
Goa,2022-08-01,0,0.0
Goa,2022-09-01,0,0.0
Goa,2022-10-01,0,0.0
Goa,2022-11-01,0,0.0
Gurgaon,2022-03-01,0,0.0
Gurgaon,2022-04-01,0,0.0
Gurgaon,2022-05-01,0,0.0
Gurgaon,2022-06-01,0,0.0
Gurgaon,2022-07-01,0,0.0
Gurgaon,2022-08-01,0,0.0
Gurgaon,2022-09-01,0,0.0
Gurgaon,2022-10-01,0,0.0
Gurgaon,2022-11-01,0,0.0
Guwahati,2022-03-01,0,0.0
Guwahati,2022-04-01,0,0.0
Guwahati,2022-05-01,0,0.0
Guwahati,2022-06-01,0,0.0
Guwahati,2022-07-01,0,0.0
Guwahati,2022-08-01,0,0.0
Guwahati,2022-09-01,0,0.0
Guwahati,2022-10-01,0,0.0
Guwahati,2022-11-01,0,0.0
Gwalior,2022-03-01,0,0.0
Gwalior,2022-04-01,0,100000.0
Gwalior,2022-05-01,0,100000.0
Gwalior,2022-06-01,0,100000.0
Gwalior,2022-07-01,0,100000.0
Gwalior,2022-08-01,0,100000.0
Gwalior,2022-09-01,0,100000.0
Gwalior,2022-10-01,0,64999.999999999905
Gwalior,2022-11-01,0,135000.0
Hyd Arush,2022-03-01,0,0.0
Hyd Arush,2022-04-01,0,0.0
Hyd Arush,2022-05-01,0,0.0
Hyd Arush,2022-06-01,0,0.0
Hyd Arush,2022-07-01,0,0.0
Hyd Arush,2022-08-01,0,0.0
Hyd Arush,2022-09-01,0,0.0
Hyd Arush,2022-10-01,0,0.0
Hyd Arush,2022-11-01,0,0.0
Indore,2022-03-01,0,0.0
Indore,2022-04-01,0,0.0
Indore,2022-05-01,0,0.0
Indore,2022-06-01,0,0.0
Indore,2022-07-01,0,0.0
Indore,2022-08-01,0,0.0
Indore,2022-09-01,0,0.0
Indore,2022-10-01,0,0.0
Indore,2022-11-01,0,0.0
Jaipur,2022-03-01,0,0.0
Jaipur,2022-04-01,0,599804.0
Jaipur,2022-05-01,0,595232.0
Jaipur,2022-06-01,0,591928.0
Jaipur,2022-07-01,0,609912.0
Jaipur,2022-08-01,0,618172.0
Jaipur,2022-09-01,0,595400.0
Jaipur,2022-10-01,0,627492.0
Jaipur,2022-11-01,0,621781.999999999
Jalandhar,2022-03-01,0,0.0
Jalandhar,2022-04-01,0,33235.0
Jalandhar,2022-05-01,0,30133.0
Jalandhar,2022-06-01,0,44430.0
Jalandhar,2022-07-01,0,44931.0
Jalandhar,2022-08-01,0,50610.0
Jalandhar,2022-09-01,0,43810.0
Jalandhar,2022-10-01,0,46981.0
Jalandhar,2022-11-01,0,44916.0
Jamshedpur,2022-03-01,0,0.0
Jamshedpur,2022-04-01,0,0.0
Jamshedpur,2022-05-01,0,0.0
Jamshedpur,2022-06-01,0,0.0
Jamshedpur,2022-07-01,0,0.0
Jamshedpur,2022-08-01,0,0.0
Jamshedpur,2022-09-01,0,0.0
Jamshedpur,2022-10-01,0,0.0
Jamshedpur,2022-11-01,0,0.0
Jodhpur,2022-03-01,0,0.0
Jodhpur,2022-04-01,0,117530.0
Jodhpur,2022-05-01,0,118290.0
Jodhpur,2022-06-01,0,118210.0
Jodhpur,2022-07-01,0,122436.0
Jodhpur,2022-08-01,0,133991.0
Jodhpur,2022-09-01,0,130289.99999999999
Jodhpur,2022-10-01,0,135801.0
Jodhpur,2022-11-01,0,130830.0
Kanpur,2022-03-01,0,0.0
Kanpur,2022-04-01,0,23500.0
Kanpur,2022-05-01,0,20850.0
Kanpur,2022-06-01,0,27750.0
Kanpur,2022-07-01,0,24300.0
Kanpur,2022-08-01,0,21550.0
Kanpur,2022-09-01,0,19025.0
Kanpur,2022-10-01,0,29630.0
Kanpur,2022-11-01,0,23500.0
Kharagpur,2022-03-01,0,0.0
Kharagpur,2022-04-01,0,0.0
Kharagpur,2022-05-01,0,0.0
Kharagpur,2022-06-01,0,41273.0
Kharagpur,2022-07-01,0,148945.0
Kharagpur,2022-08-01,0,121500.0
Kharagpur,2022-09-01,0,130831.0
Kharagpur,2022-10-01,0,145000.0
Kharagpur,2022-11-01,0,108895.2
Kolkata,2022-03-01,0,0.0
Kolkata,2022-04-01,0,0.0
Kolkata,2022-05-01,0,0.0
Kolkata,2022-06-01,0,0.0
Kolkata,2022-07-01,0,0.0
Kolkata,2022-08-01,0,0.0
Kolkata,2022-09-01,0,0.0
Kolkata,2022-10-01,0,0.0
Kolkata,2022-11-01,0,0.0
Kota,2022-03-01,0,0.0
Kota,2022-04-01,0,117310.0
Kota,2022-05-01,0,120876.0
Kota,2022-06-01,0,110488.0
Kota,2022-07-01,0,120326.0
Kota,2022-08-01,0,132011.0
Kota,2022-09-01,0,128380.0
Kota,2022-10-01,0,132561.0
Kota,2022-11-01,0,128480.00000000001
Lucknow,2022-03-01,0,0.0
Lucknow,2022-04-01,0,0.0
Lucknow,2022-05-01,0,0.0
Lucknow,2022-06-01,0,0.0
Lucknow,2022-07-01,0,0.0
Lucknow,2022-08-01,0,0.0
Lucknow,2022-09-01,0,0.0
Lucknow,2022-10-01,0,0.0
Lucknow,2022-11-01,0,0.0
Ludhiana,2022-03-01,0,0.0
Ludhiana,2022-04-01,0,97240.0
Ludhiana,2022-05-01,0,30133.0
Ludhiana,2022-06-01,0,118089.0
Ludhiana,2022-07-01,0,44931.0
Ludhiana,2022-08-01,0,50610.0
Ludhiana,2022-09-01,0,43810.0
Ludhiana,2022-10-01,0,46980.0
Ludhiana,2022-11-01,0,45136.0
Mahaveer,2022-03-01,0,0.0
Mahaveer,2022-04-01,0,0.0
Mahaveer,2022-05-01,0,0.0
Mahaveer,2022-06-01,0,0.0
Mahaveer,2022-07-01,0,0.0
Mahaveer,2022-08-01,0,0.0
Mahaveer,2022-09-01,0,0.0
Mahaveer,2022-10-01,0,0.0
Mahaveer,2022-11-01,0,0.0
Muzaffarpur,2022-03-01,0,0.0
Muzaffarpur,2022-04-01,0,0.0
Muzaffarpur,2022-05-01,0,0.0
Muzaffarpur,2022-06-01,0,19098.0
Muzaffarpur,2022-07-01,0,6880.0
Muzaffarpur,2022-08-01,0,0.0
Muzaffarpur,2022-09-01,0,0.0
Muzaffarpur,2022-10-01,0,0.0
Muzaffarpur,2022-11-01,0,0.0
Nagpur,2022-03-01,0,0.0
Nagpur,2022-04-01,0,0.0
Nagpur,2022-05-01,0,0.0
Nagpur,2022-06-01,0,0.0
Nagpur,2022-07-01,0,0.0
Nagpur,2022-08-01,0,0.0
Nagpur,2022-09-01,0,0.0
Nagpur,2022-10-01,0,0.0
Nagpur,2022-11-01,0,0.0
Nashik,2022-03-01,0,0.0
Nashik,2022-04-01,0,0.0
Nashik,2022-05-01,0,0.0
Nashik,2022-06-01,0,0.0
Nashik,2022-07-01,0,0.0
Nashik,2022-08-01,0,0.0
Nashik,2022-09-01,0,0.0
Nashik,2022-10-01,0,0.0
Nashik,2022-11-01,0,0.0
Patiala,2022-03-01,0,0.0
Patiala,2022-04-01,0,0.0
Patiala,2022-05-01,0,0.0
Patiala,2022-06-01,0,0.0
Patiala,2022-07-01,0,41675.0
Patiala,2022-08-01,0,46676.0
Patiala,2022-09-01,0,44842.0
Patiala,2022-10-01,0,0.0
Patiala,2022-11-01,0,0.0
Patna,2022-03-01,0,0.0
Patna,2022-04-01,0,6660.0
Patna,2022-05-01,0,0.0
Patna,2022-06-01,0,0.0
Patna,2022-07-01,0,0.0
Patna,2022-08-01,0,950.0
Patna,2022-09-01,0,3300.0
Patna,2022-10-01,0,0.0
Patna,2022-11-01,0,0.0
Pondy,2022-03-01,0,0.0
Pondy,2022-04-01,0,0.0
Pondy,2022-05-01,0,0.0
Pondy,2022-06-01,0,0.0
Pondy,2022-07-01,0,0.0
Pondy,2022-08-01,0,0.0
Pondy,2022-09-01,0,0.0
Pondy,2022-10-01,0,0.0
Pondy,2022-11-01,0,0.0
Prayagraj,2022-03-01,0,0.0
Prayagraj,2022-04-01,0,0.0
Prayagraj,2022-05-01,0,0.0
Prayagraj,2022-06-01,0,0.0
Prayagraj,2022-07-01,0,0.0
Prayagraj,2022-08-01,0,0.0
Prayagraj,2022-09-01,0,0.0
Prayagraj,2022-10-01,0,0.0
Prayagraj,2022-11-01,0,0.0
Pune,2022-03-01,0,0.0
Pune,2022-04-01,0,0.0
Pune,2022-05-01,0,300.0
Pune,2022-06-01,0,102400.0
Pune,2022-07-01,0,104150.0
Pune,2022-08-01,0,105200.0
Pune,2022-09-01,0,104300.0
Pune,2022-10-01,0,108150.0
Pune,2022-11-01,0,102100.0
Puri,2022-03-01,0,0.0
Puri,2022-04-01,0,0.0
Puri,2022-05-01,0,0.0
Puri,2022-06-01,0,0.0
Puri,2022-07-01,0,24300.0
Puri,2022-08-01,0,25200.0
Puri,2022-09-01,0,23400.0
Puri,2022-10-01,0,0.0
Puri,2022-11-01,0,0.0
Raipur,2022-03-01,0,0.0
Raipur,2022-04-01,0,0.0
Raipur,2022-05-01,0,0.0
Raipur,2022-06-01,0,0.0
Raipur,2022-07-01,0,0.0
Raipur,2022-08-01,0,0.0
Raipur,2022-09-01,0,0.0
Raipur,2022-10-01,0,0.0
Raipur,2022-11-01,0,0.0
Rajkot,2022-03-01,0,0.0
Rajkot,2022-04-01,0,0.0
Rajkot,2022-05-01,0,0.0
Rajkot,2022-06-01,0,0.0
Rajkot,2022-07-01,0,0.0
Rajkot,2022-08-01,0,0.0
Rajkot,2022-09-01,0,0.0
Rajkot,2022-10-01,0,0.0
Rajkot,2022-11-01,0,0.0
Ranchi,2022-03-01,0,0.0
Ranchi,2022-04-01,0,0.0
Ranchi,2022-05-01,0,0.0
Ranchi,2022-06-01,0,0.0
Ranchi,2022-07-01,0,0.0
