unit_name,month,Worked Mandays--Present Head Count--Admin,Worked Mandays--Present Head Count--Audit & Refilling,Worked Mandays--Present Head Count--CHECKING,Worked Mandays--Present Head Count--Checking,Worked Mandays--Present Head Count--Data Analyst,Worked Mandays--Present Head Count--Data analyst,Worked Mandays--Present Head Count--Delivery,Worked Mandays--Present Head Count--Dispatch,Worked Mandays--Present Head Count--Expiry,Worked Mandays--Present Head Count--Finance & Accounts,Worked Mandays--Present Head Count--HR,Worked Mandays--Present Head Count--IT,Worked Mandays--Present Head Count--IT ,Worked Mandays--Present Head Count--Inward,Worked Mandays--Present Head Count--Overall Non - Ops,Worked Mandays--Present Head Count--Overall Operation,Worked Mandays--Present Head Count--PURCHASE,Worked Mandays--Present Head Count--Purchase,Worked Mandays--Present Head Count--SALES,Worked Mandays--Present Head Count--Sales,Worked Mandays--Present Head Count--Sales Return,Worked Mandays--Present Head Count--Store,Worked Mandays--Present Head Count--store
Belgam,2022-10-01,19.486186038907963,,,60.48698803914462,,,235.45313519391084,21.601014860456687,,51.92272562522653,26.0,,,45.44298658934397,,52.0,,,,423.9385284523378,,280.83392533526643,
Belgam,2022-11-01,19.486186038907963,,,60.48698803914462,,,257.05415005436754,21.601014860456687,,25.92272562522653,51.92272562522653,,,45.44298658934397,,52.0,,,,449.8612540775643,,302.4349401957231,
Bhopal,2022-04-01,,,,,,,52.0,,,26.0,,,,,,29.466666666666665,,,,307.6666666666667,,,
Bhopal,2022-05-01,,,,,,,26.0,,,26.0,,,,,,29.355271647954574,,,,260.0,,,
Bhopal,2022-06-01,,,,,,,,,,26.0,,,,,,29.466666666666665,,,,305.9333333333333,,,
Bhopal,2022-07-01,,,,,,,,,,24.32258064516129,,,,,,26.0,,,,258.3225806451613,,,
Bhopal,2022-08-01,,,,,,,,,,0.8709677419354839,,,,,,4.354838709677419,,,,245.61290322580646,,,
Bhopal,2022-09-01,,,,,,,,,,24.266666666666666,,,,,,,,,,194.13333333333333,,,
Bhopal,2022-10-01,,,,,,,,,,26.0,,,,,,21.806451612903228,,,,130.0,,,
Bhopal,2022-11-01,,,,,,,,,,26.0,,,,,,26.0,,,,129.13333333333333,,,
Bhubaneswar,2022-04-01,52.0,96.2,,138.66666666666669,,,,52.86666666666666,,28.6,,,,113.53333333333335,,0.0,,,,495.73333333333335,25.133333333333333,242.66666666666669,
Bhubaneswar,2022-05-01,53.677419354838705,79.6774193548387,,110.70967741935483,,,,56.19354838709677,,26.0,,,,133.3548387096774,,,,,,434.45161290322585,25.161290322580648,259.1612903225806,
Bhubaneswar,2022-06-01,49.4,80.60000000000001,,104.86666666666666,,,,52.0,,26.0,,,,104.0,,,,26.0,,350.13333333333327,24.266666666666666,238.33333333333337,
Bhubaneswar,2022-07-01,55.354838709677416,109.87096774193547,,112.38709677419354,,,,55.354838709677416,,26.838709677419352,,,,113.2258064516129,,,,27.677419354838708,,383.7096774193548,38.16129032258065,242.38709677419354,
Bhubaneswar,2022-08-01,57.483870967741936,109.74193548387096,,117.58064516129032,,,,57.483870967741936,,27.0,,,,120.19354838709677,,,,28.741935483870968,,410.2258064516129,53.12903225806452,257.8064516129032,
Bhubaneswar,2022-09-01,27.733333333333334,143.86666666666667,,110.93333333333334,,,,57.2,,58.06666666666667,,,,114.4,,,,28.6,,379.6,54.6,170.73333333333332,
Bhubaneswar,2022-10-01,26.838709677419352,129.16129032258064,,112.38709677419354,,,,56.19354838709677,,55.354838709677416,,,,139.2258064516129,,,,,,353.09677419354836,56.19354838709677,167.74193548387095,
Bhubaneswar,2022-11-01,26.0,137.79999999999998,,104.0,,,,52.0,,52.0,,,,129.13333333333333,,,,,,366.59999999999997,52.0,150.79999999999998,
Bilaspur,2022-04-01,,,,,,,,24.266666666666666,,27.733333333333334,,,,,,,,,,156.86666666666667,,,
Bilaspur,2022-05-01,,,,,,,,25.161290322580648,,25.161290322580648,,,,,,,,,,185.3548387096774,,,
Bilaspur,2022-06-01,,,,,,,,25.133333333333333,,25.133333333333333,,,,,,,,,,120.46666666666665,,,
Bilaspur,2022-07-01,,,,,,,,25.161290322580648,,17.612903225806452,,,,,,,,,,195.0,,,
Bilaspur,2022-08-01,,,,,,,,24.387096774193548,,26.129032258064516,,,,,,,,,,252.14516129032256,,,
Bilaspur,2022-09-01,,,,,,,,24.266666666666666,,26.0,,,,,,,,,,182.0,,,
Bilaspur,2022-10-01,,,,,,,,26.0,,26.0,,,,,,,,,,191.2258064516129,,,
Bilaspur,2022-11-01,,,,,,,,26.0,,26.0,,,,,,,,,,212.76666666666668,,,
Bokaro,2022-04-01,,,,,,,,,,,,,,,,,,,,40.733333333333334,,,
Bokaro,2022-05-01,,,,,,,,,,,,,,,,15.935483870967742,,,,130.83870967741936,,,
Bokaro,2022-06-01,,,,,,,,,,,,,,,,14.733333333333333,,,,115.26666666666668,,,
Bokaro,2022-07-01,,,,,,,,,,,,,,,,27.677419354838708,,,,265.8709677419355,,,
Bokaro,2022-08-01,,,,,,,,,,,,,,,,27.870967741935484,,,,290.03225806451616,,,
Bokaro,2022-09-01,,,,,,,,,,26.0,,,,,,26.0,,,,245.26666666666668,,,
Bokaro,2022-10-01,,,,,,,,,,22.64516129032258,,,,,,25.161290322580648,,,,260.83870967741933,,,
Bokaro,2022-11-01,,,,,,,,,,17.333333333333332,,,,,,17.333333333333332,,,,182.0,,,
Chandigarh,2022-04-01,25.133333333333333,24.266666666666666,,121.55,,,,56.76666666666667,29.033333333333335,72.36666666666666,,0.0,,112.88333333333334,,53.73333333333334,,24.266666666666666,,466.26666666666665,,222.95000000000002,
Chandigarh,2022-05-01,26.0,27.677419354838708,,135.4516129032258,,,,47.387096774193544,17.612903225806452,71.29032258064517,,,,105.25806451612904,,54.516129032258064,,26.0,,473.45161290322585,,204.2258064516129,
Chandigarh,2022-06-01,26.0,19.933333333333334,,133.9,,,,54.6,27.3,78.86666666666666,,,,76.7,,49.4,,25.133333333333333,,501.3666666666666,,177.66666666666666,
Chandigarh,2022-07-01,26.0,,,199.1935483870968,,,,62.903225806451616,26.0,83.03225806451614,,,,72.12903225806453,,52.41935483870968,,26.0,,469.258064516129,,272.58064516129036,
Chandigarh,2022-08-01,27.0,,,177.24193548387098,,,,60.096774193548384,27.870967741935484,56.61290322580645,,,,74.90322580645162,,56.177419354838705,,26.129032258064516,,512.1290322580645,,323.56451612903226,
Chandigarh,2022-09-01,26.0,,,182.43333333333334,,,,81.46666666666667,26.86666666666667,45.93333333333333,,,,97.93333333333334,,41.6,,26.0,,451.53333333333336,,265.2,
Chandigarh,2022-10-01,26.0,25.161290322580644,,247.41935483870967,,,,109.45161290322581,26.419354838709676,52.83870967741935,,,,145.93548387096774,,28.516129032258064,,25.161290322580648,,493.58064516129036,,195.0,
Chandigarh,2022-11-01,25.133333333333333,11.266666666666667,,241.8,,,,108.33333333333334,26.86666666666667,38.13333333333334,,,,119.6,,26.0,,25.133333333333333,,493.1333333333334,,255.23333333333332,
Chennai,2022-04-01,182.0,27.733333333333334,,1048.6666666666665,,67.60000000000001,136.06666666666666,490.96666666666664,311.1333333333333,405.6,5.2,78.0,,952.4666666666667,,,,77.13333333333334,,1042.6000000000001,103.13333333333334,2226.9,
Chennai,2022-05-01,74.70154272656622,,,990.4458344879232,,55.522271631357654,157.22475959044988,513.8579494852016,297.23143753752345,472.47078088912474,,24.32258064516129,,894.1887243570498,,,,72.15659781255289,,1024.4256542524845,100.25335191822647,2560.021622231419,
Chennai,2022-06-01,149.06666666666666,,,901.2370370370371,,53.73333333333334,155.80740740740742,486.68148148148146,301.69629629629634,442.0000000000001,,27.3,,901.4296296296296,,26.86666666666667,,80.60000000000001,,1106.3481481481483,103.56666666666666,2711.7037037037035,
Chennai,2022-07-01,146.7741935483871,,,839.3620071684588,,54.516129032258064,148.078853046595,536.9139784946237,275.6559139784946,461.56989247311833,,25.161290322580648,,868.0179211469534,,25.161290322580648,,73.80645161290323,,965.6810035842294,96.87096774193547,2607.0824372759857,
Chennai,2022-08-01,140.2258064516129,,,883.4032258064516,57.483870967741936,,159.67741935483872,553.5483870967743,294.241935483871,501.8709677419355,,27.0,,969.3387096774194,,27.0,,81.0,,1036.4516129032259,98.85483870967741,2931.6774193548385,
Chennai,2022-09-01,106.60000000000001,,,880.4851851851852,43.333333333333336,,185.0814814814815,744.9481481481481,324.5185185185185,493.1333333333334,,26.86666666666667,,946.0629629629631,,26.86666666666667,,74.96666666666667,,1016.1666666666667,93.60000000000001,2773.6703703703706,26.86666666666667
Chennai,2022-10-01,73.80645161290323,,,821.3763440860216,50.322580645161295,,150.31541218637994,492.69534050179215,280.78136200716847,495.6774193548388,,25.161290322580648,,888.100358422939,,25.161290322580648,,74.64516129032259,,906.6451612903227,98.96774193548387,2692.258064516129,
Chennai,2022-11-01,104.86666666666666,,,754.7703703703704,51.13333333333334,,145.0222222222222,497.41851851851857,320.0407407407408,562.0814814814815,,,26.0,873.0703703703704,,146.65925925925927,,74.53333333333333,,940.9111111111112,94.2740740740741,2545.2555555555555,
Coimbatore,2022-04-01,56.11666666666666,,,285.45833333333337,,,148.63333333333333,94.46666666666668,77.13333333333334,77.13333333333334,,25.133333333333333,,173.54999999999998,,,,48.53333333333333,,279.9333333333333,,403.21666666666664,
Coimbatore,2022-05-01,56.3350806451613,,,254.43655913978492,,,153.05577956989248,95.99731182795699,70.94086021505376,72.96774193548387,,25.161290322580648,,172.7899193548387,,,,50.322580645161295,,283.5397849462366,,363.52473118279573,
Coimbatore,2022-06-01,30.333333333333336,,,279.25925925925924,,,165.82222222222222,139.34074074074073,78.86666666666667,102.26666666666668,,26.0,,177.23333333333332,,,,52.0,,321.96666666666664,,357.162962962963,
Coimbatore,2022-07-01,29.354838709677423,,,343.3584229390681,,,170.91039426523298,111.17562724014337,75.11111111111111,74.64516129032259,,25.161290322580648,,173.3426523297491,,,,50.322580645161295,,287.86379928315415,,379.3297491039427,
Coimbatore,2022-08-01,23.516129032258064,,,430.3064516129032,,,157.50000000000003,118.74193548387098,75.7741935483871,77.51612903225806,,27.0,,183.09677419354838,,59.661290322580655,,53.12903225806452,,322.258064516129,,371.51612903225805,
Coimbatore,2022-09-01,30.333333333333336,,,467.37407407407414,,,143.96296296296296,117.81851851851852,83.5851851851852,79.73333333333333,,26.86666666666667,,180.74814814814818,,57.68148148148149,,50.7,,300.73333333333335,,337.32592592592596,
Coimbatore,2022-10-01,28.516129032258064,,,510.1218637992831,,,144.21146953405017,111.92114695340503,80.51612903225806,75.06451612903226,,24.741935483870964,,178.6451612903226,,55.634408602150536,,52.83870967741935,,283.90322580645164,,436.268817204301,
Coimbatore,2022-11-01,26.86666666666667,,,527.3185185185185,,,155.9037037037037,84.69259259259259,69.91111111111111,79.73333333333332,,,26.86666666666667,200.05555555555557,,58.355555555555554,,52.86666666666666,,287.97407407407405,,620.5814814814815,
DC,2022-04-01,340.16666666666663,446.76666666666665,,1237.1666666666667,,26.0,52.0,473.63333333333327,429.86666666666673,256.1,52.86666666666666,38.13333333333333,,544.6999999999999,27.733333333333334,118.73333333333332,,65.86666666666666,,3211.0,95.76666666666668,2652.0,
DC,2022-05-01,351.4193541708279,472.19426696490206,,1054.2598562171088,,26.0,51.16129032258065,397.9684390280313,488.96661921166975,238.19328487152302,52.0,20.96732183379772,,550.195798046749,26.0,93.93566738041638,,78.83853304852734,,3171.999782531389,113.22655354863252,2762.30100764866,
DC,2022-06-01,332.8,526.9333333333333,,1052.5666666666666,,26.0,34.666666666666664,409.9333333333333,556.4,231.83333333333331,52.0,32.06666666666667,,489.66666666666674,26.0,72.36666666666666,,72.8,,3080.133333333333,114.4,2682.766666666667,
DC,2022-07-01,327.09677419354836,491.483870967742,,1040.8387096774193,,26.0,29.354838709677416,369.0322580645161,443.6774193548388,222.67741935483872,52.0,44.45161290322581,,449.1290322580645,0.0,51.16129032258065,,78.0,,2917.870967741935,121.61290322580646,2630.1935483870966,
DC,2022-08-01,343.1612903225806,459.0,,955.0161290322582,27.0,,26.129032258064516,340.5483870967742,424.59677419354836,206.8548387096774,54.0,46.16129032258065,,486.8709677419355,,40.064516129032256,,79.25806451612904,,3158.129032258064,101.46774193548387,3008.3225806451615,
DC,2022-09-01,317.2,454.5666666666667,,1064.2666666666669,26.0,,26.0,312.8666666666667,386.09999999999997,205.4,52.86666666666666,40.733333333333334,,573.7333333333333,,27.733333333333334,,77.13333333333334,,2908.9666666666667,132.16666666666669,2689.7000000000003,
DC,2022-10-01,339.258064516129,487.2903225806452,,950.6774193548387,26.0,,23.483870967741936,291.8709677419355,422.7096774193548,185.3548387096774,51.16129032258065,44.45161290322581,,440.741935483871,,26.838709677419352,,76.3225806451613,,2784.935483870968,105.6774193548387,3029.0,
DC,2022-11-01,224.46666666666664,413.40000000000003,,837.6333333333334,26.0,,0.0,275.59999999999997,368.33333333333337,168.13333333333333,51.13333333333334,,35.53333333333333,483.6,,23.400000000000002,,66.73333333333332,,2639.866666666667,110.93333333333334,2610.3999999999996,
DRK,2022-04-01,,,,185.46666666666667,,,53.73333333333334,,27.733333333333334,52.0,,,,78.0,,,,26.0,,487.0666666666667,,441.1333333333334,
DRK,2022-05-01,,,,137.14014040545047,,,45.106671100764885,,24.807063857801182,45.45303225806452,,,,44.19511360448808,,,,20.96774193548387,,439.94083558389474,,364.07487018038756,
DRK,2022-06-01,,,,133.46666666666667,,,64.13333333333334,,23.400000000000002,46.800000000000004,,,,42.9,,,,20.8,,456.7333333333334,,395.2,
DRK,2022-07-01,,,,148.45161290322582,,,94.7741935483871,,25.161290322580648,46.96774193548387,,,,80.93548387096774,,,,20.96774193548387,,462.9677419354839,,370.7096774193548,
DRK,2022-08-01,,,,140.66129032258064,,,65.3225806451613,,23.516129032258064,48.7741935483871,,,,77.9516129032258,,,,20.903225806451612,,445.93548387096774,,385.83870967741933,
DRK,2022-09-01,,,,146.46666666666667,,,68.46666666666667,,24.266666666666666,49.4,,,,86.66666666666667,,,,22.533333333333335,,464.1,,405.59999999999997,
DRK,2022-10-01,,,,124.1290322580645,,,88.9032258064516,,22.645161290322577,46.96774193548387,,,,80.51612903225806,,,,21.806451612903228,,449.54838709677415,,382.45161290322585,
DRK,2022-11-01,,,,133.46666666666664,,,94.46666666666667,,23.400000000000002,48.53333333333333,,,,83.2,,,,20.8,,477.1,,453.7,
Davangere,2022-04-01,94.46666666666667,26.0,,560.7333333333333,,26.0,482.3,496.6,12.566666666666666,251.33333333333337,48.53333333333333,,,945.9666666666667,,26.0,,190.66666666666666,,2375.9666666666662,167.26666666666668,2346.5,
Davangere,2022-05-01,96.70308806575227,26.0,,533.1918859123556,,8.387096774193548,482.5194438908468,504.3582973635018,17.445023549623233,251.80128002986905,26.0,,,907.6426335214444,,,,192.0361153086426,,2219.434549201936,175.97043368138506,2161.8517546802827,
Davangere,2022-06-01,96.94295619047618,26.0,,449.8,,,436.1931910012773,487.0666666666667,13.259857667944004,251.33333333333331,26.0,,,1030.2900838581777,,,,143.77224770642204,,2070.877733786539,204.7955264115579,2174.9964697258115,
Davangere,2022-07-01,122.70308806575225,26.0,,526.7062011064664,,26.0,473.52950198916744,549.3128605917805,18.70308806575226,252.63998970728838,26.0,26.0,,1102.2111771784348,,,,187.81462523682066,,2184.8060454544307,207.84140142332058,2252.398833334814,
Davangere,2022-08-01,127.00367560803942,27.0,25.33823414405255,445.72487682802847,,27.0,481.73473058575115,582.1438179400953,19.003675608039416,317.0425432079455,54.0,27.0,,1171.137405177133,,,,186.57597560021895,,2342.8955970907955,215.8036286853836,2400.1955158218598,
Davangere,2022-09-01,96.29983577070462,26.0,,478.01611011183235,,26.0,496.55181043247046,560.5829357941659,18.29983577070462,279.37545945100493,52.0,26.0,,1127.761945726128,,,,179.66575428169233,,2350.5203722530696,207.81090169703603,2512.239715628915,
Davangere,2022-10-01,96.29983577070462,26.0,,474.01611011183223,,,496.55181043247046,503.65011339641825,18.29983577070462,279.37545945100493,72.9838116837413,26.0,,1137.285993587237,,,,164.04176116368185,,2168.8213028857435,207.81090169703603,2453.269511515362,
Davangere,2022-11-01,96.29983577070462,26.0,,515.2664424806444,,,522.5518104324705,498.62579181981704,18.29983577070462,279.37545945100493,52.0,,26.0,1263.5833268162978,,,,164.04176116368185,,2256.8374129975755,207.81090169703603,2557.6663799171033,
Desai,2022-04-01,26.0,,,308.53333333333336,,,80.60000000000001,30.333333333333336,159.46666666666667,127.4,,,,205.4,,26.86666666666667,,,,164.66666666666669,26.86666666666667,674.2666666666668,
Desai,2022-05-01,30.19363449691992,,,284.3214421008297,,,71.2908799039689,30.193477246702574,152.64524420236518,89.74172580645161,,,,184.51725226841802,,7.548387096774194,,,,150.97047984269776,26.83918105178643,667.6141706503759,
Desai,2022-06-01,29.466666666666665,,,318.0666666666667,,,73.66666666666667,29.466666666666665,145.6,143.86666666666667,,,,209.73333333333332,,26.86666666666667,,,,162.93333333333334,21.666666666666668,908.2666666666665,
Desai,2022-07-01,28.516129032258064,,,314.5161290322581,,,80.51612903225806,29.354838709677416,149.29032258064518,151.80645161290323,,,,209.67741935483872,,26.0,,,,163.54838709677418,26.0,790.9032258064516,
Desai,2022-08-01,30.483870967741932,,,297.43548387096774,,,83.61290322580645,30.48387096774194,132.38709677419354,162.8709677419355,,,,251.70967741935482,,13.935483870967742,,,,175.93548387096774,27.0,724.6451612903226,
Desai,2022-09-01,30.333333333333336,,,244.4,,,81.46666666666668,31.2,153.4,127.4,,,,227.93333333333337,,27.733333333333334,,,,169.43333333333337,26.0,702.0,
Desai,2022-10-01,29.354838709677416,,,313.67741935483866,,,80.51612903225806,29.354838709677416,151.80645161290323,128.32258064516128,,,,231.48387096774192,,26.0,,,,156.83870967741936,26.0,816.9032258064516,
Desai,2022-11-01,30.333333333333336,,,253.0666666666667,,,81.46666666666667,30.333333333333336,153.4,124.80000000000001,,,,283.40000000000003,,26.86666666666667,,,,137.8,24.266666666666666,796.9000000000001,
Dhanbad,2022-04-01,,,,,,,,,,,,,,,,26.0,,,,233.13333333333333,,23.400000000000002,
Dhanbad,2022-05-01,,,,,,,,,,,,,,,,26.0,,,,232.32258064516128,,26.0,
Dhanbad,2022-06-01,,,,,,,,,,,,,,,,26.0,,,,257.40000000000003,,26.0,
Dhanbad,2022-07-01,,,,,,,,,,,,,,,,26.0,,,,243.22580645161293,,26.0,
Dhanbad,2022-08-01,,,,,,,,,,,,,,,,27.870967741935484,,,,265.64516129032256,,27.870967741935484,
Dhanbad,2022-09-01,,,,,,,,,,10.4,,,,,,26.0,,,,240.93333333333337,,0.0,
Dhanbad,2022-10-01,,,,,,,,,,26.838709677419352,,,,,,26.838709677419352,,,,265.87096774193543,,,
Dhanbad,2022-11-01,,,,,,,,,,17.333333333333332,,,,,,17.333333333333332,,,,182.0,,,
Eastern,2022-04-01,,151.66666666666669,,1574.3000000000002,,,,,384.8,408.2,,,,605.8000000000001,,137.79999999999998,,51.13333333333334,,340.1666666666667,253.0666666666667,2905.9333333333334,
Eastern,2022-05-01,,141.32159295394635,,1411.9680177847838,,,,,332.5480141312864,372.38816329209465,,,,595.0659351090553,,139.22564516749355,,43.61361626272668,,340.51624251610247,235.25793472855892,2581.12576247624,
Eastern,2022-06-01,,143.0,,1308.6666666666667,,,,,445.46666666666664,409.0666666666667,,,,833.7333333333335,,174.20000000000002,,55.900000000000006,,399.1,208.86666666666667,2999.9666666666662,
Eastern,2022-07-01,,116.5806451612903,,1420.774193548387,,,,26.838709677419352,415.1612903225806,397.12903225806457,,,,1264.3548387096773,,164.38709677419354,,106.09677419354837,,381.19354838709677,201.29032258064518,3031.0967741935483,
Eastern,2022-08-01,,123.67741935483872,,1491.967741935484,,,,,427.64516129032256,418.5,,,,1234.1612903225807,,167.66129032258064,,104.51612903225805,,394.5483870967742,189.0,2971.3064516129034,
Eastern,2022-09-01,,103.13333333333334,,1328.1666666666665,,,,,403.8666666666667,396.9333333333333,,,,804.2666666666667,,162.93333333333337,,86.66666666666666,,357.5,159.9,2828.366666666667,
Eastern,2022-10-01,,119.93548387096774,,1308.8064516129034,,,,,394.19354838709677,410.54838709677415,,,,906.6451612903224,,166.90322580645162,,79.6774193548387,,352.6774193548387,212.19354838709674,3413.548387096774,
Eastern,2022-11-01,,93.60000000000001,,1311.6999999999998,,,,,431.16666666666663,399.53333333333336,,,,861.4666666666667,,169.86666666666667,,93.60000000000001,,363.56666666666666,211.03333333333336,3045.9,
Gaya,2022-04-01,,,,,,,,,,,,,,,,,,,,31.200000000000003,,,
Gaya,2022-05-01,,,,,,,,,,,,,,,,,,,,76.3225806451613,,,
Gaya,2022-06-01,,,,,,,,,,,,,,,,,,,,80.60000000000001,,,
Gaya,2022-07-01,,,,,,,,,,,,,,,,,,,,144.25806451612905,,,
Gaya,2022-08-01,,,,,,,,,,,,,,,,,,,,121.93548387096773,,,
Goa,2022-04-01,36.4,,,,,,130.0,,26.0,52.0,26.0,,,103.13333333333334,,26.0,,26.0,,305.93333333333334,,197.64333333333332,
Goa,2022-05-01,52.0,,,,,,121.61290322580646,,26.0,50.322580645161295,26.0,,,99.80645161290323,,51.16129032258065,,26.0,,320.38709677419354,,169.83870967741936,
Goa,2022-06-01,52.0,,,,,,151.66666666666666,,26.0,52.0,26.0,,,104.0,,64.13333333333334,,26.0,,295.53333333333336,,203.23333333333332,
Goa,2022-07-01,49.483870967741936,,,26.0,,,152.6451612903226,,26.0,52.0,26.0,,,128.74193548387095,,52.0,,26.0,,304.45161290322585,,179.90322580645162,
