unit_name,month,Working Days--Worked Mandays--Present Head Count--Admin,Working Days--Worked Mandays--Present Head Count--Audit & Refilling,Working Days--Worked Mandays--Present Head Count--CHECKING,Working Days--Worked Mandays--Present Head Count--Checking,Working Days--Worked Mandays--Present Head Count--Data Analyst,Working Days--Worked Mandays--Present Head Count--Data analyst,Working Days--Worked Mandays--Present Head Count--Delivery,Working Days--Worked Mandays--Present Head Count--Dispatch,Working Days--Worked Mandays--Present Head Count--Expiry,Working Days--Worked Mandays--Present Head Count--Finance & Accounts,Working Days--Worked Mandays--Present Head Count--HR,Working Days--Worked Mandays--Present Head Count--IT,Working Days--Worked Mandays--Present Head Count--IT ,Working Days--Worked Mandays--Present Head Count--Inward,Working Days--Worked Mandays--Present Head Count--Overall Non - Ops,Working Days--Worked Mandays--Present Head Count--Overall Operation,Working Days--Worked Mandays--Present Head Count--PURCHASE,Working Days--Worked Mandays--Present Head Count--Purchase,Working Days--Worked Mandays--Present Head Count--SALES,Working Days--Worked Mandays--Present Head Count--Sales,Working Days--Worked Mandays--Present Head Count--Sales Return,Working Days--Worked Mandays--Present Head Count--Store,Working Days--Worked Mandays--Present Head Count--store
Bhubaneswar,2022-05-01,26.0,26.0,,26.0,,,,26.0,,26.0,,,,26.0,,,,,,26.0,26.0,26.0,
Bhubaneswar,2022-06-01,26.0,26.0,,26.0,,,,26.0,,26.0,,,,26.0,,,,26.0,,26.0,26.0,26.0,
Bhubaneswar,2022-07-01,26.0,26.0,,26.0,,,,26.0,,26.0,,,,26.0,,,,26.0,,26.0,26.0,26.0,
Bhubaneswar,2022-08-01,27.0,27.0,,27.0,,,,27.0,,27.0,,,,27.0,,,,27.0,,27.0,27.0,27.0,
Bhubaneswar,2022-09-01,26.0,26.0,,26.0,,,,26.0,,26.0,,,,26.0,,,,26.0,,26.0,26.0,26.0,
Bhubaneswar,2022-10-01,26.0,26.0,,26.0,,,,26.0,,26.0,,,,26.0,,,,,,26.0,26.0,26.0,
Bhubaneswar,2022-11-01,26.0,26.0,,26.0,,,,26.0,,26.0,,,,26.0,,,,,,26.0,26.0,26.0,
Bilaspur,2022-04-01,,,,,,,,26.0,,26.0,,,,,,,,,,26.0,,,
Bilaspur,2022-05-01,,,,,,,,26.0,,26.0,,,,,,,,,,26.0,,,
Bilaspur,2022-06-01,,,,,,,,26.0,,26.0,,,,,,,,,,26.0,,,
Bilaspur,2022-07-01,,,,,,,,26.0,,26.0,,,,,,,,,,26.0,,,
Bilaspur,2022-08-01,,,,,,,,27.0,,27.0,,,,,,,,,,27.0,,,
Bilaspur,2022-09-01,,,,,,,,26.0,,26.0,,,,,,,,,,26.0,,,
Bilaspur,2022-10-01,,,,,,,,26.0,,26.0,,,,,,,,,,26.0,,,
Bilaspur,2022-11-01,,,,,,,,26.0,,26.0,,,,,,,,,,26.0,,,
Bokaro,2022-04-01,,,,,,,,,,,,,,,,,,,,26.0,,,
Bokaro,2022-05-01,,,,,,,,,,,,,,,,26.0,,,,26.0,,,
Bokaro,2022-06-01,,,,,,,,,,,,,,,,26.0,,,,26.0,,,
Bokaro,2022-07-01,,,,,,,,,,,,,,,,26.0,,,,26.0,,,
Bokaro,2022-08-01,,,,,,,,,,,,,,,,27.0,,,,27.0,,,
Bokaro,2022-09-01,,,,,,,,,,26.0,,,,,,26.0,,,,26.0,,,
Bokaro,2022-10-01,,,,,,,,,,26.0,,,,,,26.0,,,,26.0,,,
Bokaro,2022-11-01,,,,,,,,,,26.0,,,,,,26.0,,,,26.0,,,
Chandigarh,2022-04-01,26.0,26.0,,26.0,,,,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,
Chandigarh,2022-05-01,26.0,26.0,,26.0,,,,26.0,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,,26.0,
Chandigarh,2022-06-01,26.0,26.0,,26.0,,,,26.0,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,,26.0,
Chandigarh,2022-07-01,26.0,,,26.0,,,,26.0,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,,26.0,
Chandigarh,2022-08-01,27.0,,,27.0,,,,27.0,27.0,27.0,,,,27.0,,27.0,,27.0,,27.0,,27.0,
Chandigarh,2022-09-01,26.0,,,26.0,,,,26.0,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,,26.0,
Chandigarh,2022-10-01,26.0,26.0,,26.0,,,,26.0,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,,26.0,
Chandigarh,2022-11-01,26.0,26.0,,26.0,,,,26.0,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,,26.0,
Chennai,2022-04-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,,,26.0,,26.0,26.0,26.0,
Chennai,2022-05-01,26.0,,,26.0,,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,,,26.0,,26.0,26.0,26.0,
Chennai,2022-06-01,26.0,,,26.0,,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Chennai,2022-07-01,26.0,,,26.0,,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Chennai,2022-08-01,27.0,,,27.0,27.0,,27.0,27.0,27.0,27.0,,27.0,,27.0,,27.0,,27.0,,27.0,27.0,27.0,
Chennai,2022-09-01,26.0,,,26.0,26.0,,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,26.0,26.0,26.0
Chennai,2022-10-01,26.0,,,26.0,26.0,,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Chennai,2022-11-01,26.0,,,26.0,26.0,,26.0,26.0,26.0,26.0,,,26.0,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Coimbatore,2022-04-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,26.0,,26.0,,,,26.0,,26.0,,26.0,
Coimbatore,2022-05-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,26.0,,26.0,,,,26.0,,26.0,,26.0,
Coimbatore,2022-06-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,26.0,,26.0,,,,26.0,,26.0,,26.0,
Coimbatore,2022-07-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,26.0,,26.0,,,,26.0,,26.0,,26.0,
Coimbatore,2022-08-01,27.0,,,27.0,,,27.0,27.0,27.0,27.0,,27.0,,27.0,,27.0,,27.0,,27.0,,27.0,
Coimbatore,2022-09-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,
Coimbatore,2022-10-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,
Coimbatore,2022-11-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,,26.0,26.0,,26.0,,26.0,,26.0,,26.0,
DC,2022-04-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,26.0,26.0,,26.0,,26.0,26.0,26.0,
DC,2022-05-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,26.0,26.0,,26.0,,26.0,26.0,26.0,
DC,2022-06-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,26.0,26.0,,26.0,,26.0,26.0,26.0,
DC,2022-07-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,26.0,26.0,,26.0,,26.0,26.0,26.0,
DC,2022-08-01,27.0,27.0,,27.0,27.0,,27.0,27.0,27.0,27.0,27.0,27.0,,27.0,,27.0,,27.0,,27.0,27.0,27.0,
DC,2022-09-01,26.0,26.0,,26.0,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
DC,2022-10-01,26.0,26.0,,26.0,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
DC,2022-11-01,26.0,26.0,,26.0,26.0,,26.0,26.0,26.0,26.0,26.0,,26.0,26.0,,26.0,,26.0,,26.0,26.0,26.0,
DRK,2022-04-01,,,,26.0,,,26.0,,26.0,26.0,,,,26.0,,,,26.0,,26.0,,26.0,
DRK,2022-05-01,,,,26.0,,,26.0,,26.0,26.0,,,,26.0,,,,26.0,,26.0,,26.0,
DRK,2022-06-01,,,,26.0,,,26.0,,26.0,26.0,,,,26.0,,,,26.0,,26.0,,26.0,
DRK,2022-07-01,,,,26.0,,,26.0,,26.0,26.0,,,,26.0,,,,26.0,,26.0,,26.0,
DRK,2022-08-01,,,,27.0,,,27.0,,27.0,27.0,,,,27.0,,,,27.0,,27.0,,27.0,
DRK,2022-09-01,,,,26.0,,,26.0,,26.0,26.0,,,,26.0,,,,26.0,,26.0,,26.0,
DRK,2022-10-01,,,,26.0,,,26.0,,26.0,26.0,,,,26.0,,,,26.0,,26.0,,26.0,
DRK,2022-11-01,,,,26.0,,,26.0,,26.0,26.0,,,,26.0,,,,26.0,,26.0,,26.0,
Davangere,2022-04-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Davangere,2022-05-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,,,26.0,,,,26.0,,26.0,26.0,26.0,
Davangere,2022-06-01,26.0,26.0,,26.0,,,26.0,26.0,26.0,26.0,26.0,,,26.0,,,,26.0,,26.0,26.0,26.0,
Davangere,2022-07-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,,,26.0,,26.0,26.0,26.0,
Davangere,2022-08-01,27.0,27.0,27.0,27.0,,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,27.0,,,,27.0,,27.0,27.0,27.0,
Davangere,2022-09-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,,,26.0,,26.0,26.0,26.0,
Davangere,2022-10-01,26.0,26.0,,26.0,,,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,,,26.0,,26.0,26.0,26.0,
Davangere,2022-11-01,26.0,26.0,,26.0,,,26.0,26.0,26.0,26.0,26.0,,26.0,26.0,,,,26.0,,26.0,26.0,26.0,
Desai,2022-04-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
Desai,2022-05-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
Desai,2022-06-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
Desai,2022-07-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
Desai,2022-08-01,27.0,,,27.0,,,27.0,27.0,27.0,27.0,,,,27.0,,27.0,,,,27.0,27.0,27.0,
Desai,2022-09-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
Desai,2022-10-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
Desai,2022-11-01,26.0,,,26.0,,,26.0,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
Dhanbad,2022-04-01,,,,,,,,,,,,,,,,26.0,,,,26.0,,26.0,
Dhanbad,2022-05-01,,,,,,,,,,,,,,,,26.0,,,,26.0,,26.0,
Dhanbad,2022-06-01,,,,,,,,,,,,,,,,26.0,,,,26.0,,26.0,
Dhanbad,2022-07-01,,,,,,,,,,,,,,,,26.0,,,,26.0,,26.0,
Dhanbad,2022-08-01,,,,,,,,,,,,,,,,27.0,,,,27.0,,27.0,
Dhanbad,2022-09-01,,,,,,,,,,26.0,,,,,,26.0,,,,26.0,,26.0,
Dhanbad,2022-10-01,,,,,,,,,,26.0,,,,,,26.0,,,,26.0,,,
Dhanbad,2022-11-01,,,,,,,,,,26.0,,,,,,26.0,,,,26.0,,,
Eastern,2022-04-01,,26.0,,26.0,,,,,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Eastern,2022-05-01,,26.0,,26.0,,,,,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Eastern,2022-06-01,,26.0,,26.0,,,,,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Eastern,2022-07-01,,26.0,,26.0,,,,26.0,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Eastern,2022-08-01,,27.0,,27.0,,,,,27.0,27.0,,,,27.0,,27.0,,27.0,,27.0,27.0,27.0,
Eastern,2022-09-01,,26.0,,26.0,,,,,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Eastern,2022-10-01,,26.0,,26.0,,,,,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Eastern,2022-11-01,,26.0,,26.0,,,,,26.0,26.0,,,,26.0,,26.0,,26.0,,26.0,26.0,26.0,
Gaya,2022-04-01,,,,,,,,,,,,,,,,,,,,26.0,,,
Gaya,2022-05-01,,,,,,,,,,,,,,,,,,,,26.0,,,
Gaya,2022-06-01,,,,,,,,,,,,,,,,,,,,26.0,,,
Gaya,2022-07-01,,,,,,,,,,,,,,,,,,,,26.0,,,
Gaya,2022-08-01,,,,,,,,,,,,,,,,,,,,27.0,,,
Goa,2022-04-01,26.0,,,,,,26.0,,26.0,26.0,26.0,,,26.0,,26.0,,26.0,,26.0,,26.0,
Goa,2022-05-01,26.0,,,,,,26.0,,26.0,26.0,26.0,,,26.0,,26.0,,26.0,,26.0,,26.0,
Goa,2022-06-01,26.0,,,,,,26.0,,26.0,26.0,26.0,,,26.0,,26.0,,26.0,,26.0,,26.0,
Goa,2022-07-01,26.0,,,26.0,,,26.0,,26.0,26.0,26.0,,,26.0,,26.0,,26.0,,26.0,,26.0,
Goa,2022-08-01,27.0,,,27.0,,,27.0,,27.0,27.0,27.0,,,27.0,,27.0,,27.0,,27.0,,27.0,
Goa,2022-09-01,26.0,,,26.0,,,26.0,,26.0,26.0,26.0,,,26.0,,26.0,,26.0,,26.0,,26.0,
Goa,2022-10-01,26.0,,,,,,26.0,,26.0,26.0,26.0,,,26.0,,26.0,,26.0,,26.0,,26.0,
Goa,2022-11-01,26.0,,,,,,26.0,,26.0,26.0,26.0,,,26.0,,26.0,,26.0,,26.0,,26.0,
Gurgaon,2022-04-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,
Gurgaon,2022-05-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,
Gurgaon,2022-06-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,
Gurgaon,2022-07-01,26.0,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,
Gurgaon,2022-08-01,27.0,27.0,,27.0,27.0,,27.0,27.0,27.0,27.0,27.0,27.0,,27.0,,27.0,,27.0,,27.0,,27.0,
Gurgaon,2022-09-01,26.0,26.0,,26.0,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,
Gurgaon,2022-10-01,26.0,26.0,,26.0,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,26.0,
Gurgaon,2022-11-01,26.0,26.0,,26.0,26.0,,26.0,26.0,26.0,26.0,26.0,,26.0,26.0,,26.0,,26.0,,26.0,,26.0,
Guwahati,2022-04-01,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,,,26.0,,,,26.0,,26.0,26.0,26.0,
Guwahati,2022-05-01,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,,,26.0,,,,,,26.0,26.0,26.0,
Guwahati,2022-06-01,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,,,26.0,,,,,,26.0,26.0,26.0,
Guwahati,2022-07-01,26.0,26.0,,26.0,,26.0,,26.0,,26.0,,,,26.0,,,,,,26.0,26.0,26.0,
Guwahati,2022-08-01,27.0,27.0,,27.0,27.0,,,27.0,,27.0,,,,27.0,,,,,,27.0,27.0,27.0,
Guwahati,2022-09-01,26.0,26.0,,26.0,26.0,,,26.0,,26.0,,,,26.0,,,,,,26.0,26.0,26.0,
Guwahati,2022-10-01,26.0,26.0,,26.0,26.0,,,26.0,,26.0,,,,26.0,,,,,,26.0,26.0,26.0,
Guwahati,2022-11-01,26.0,,,26.0,26.0,,,26.0,,26.0,,,,,,,,,,26.0,,26.0,
Gwalior,2022-04-01,26.0,,,,,,,,,,,,,,,,,,,26.0,,,
Gwalior,2022-05-01,26.0,,,,,,,,,,,,,,,,,,,26.0,,,
Gwalior,2022-06-01,26.0,,,,,,,,,,,,,,,,,,,26.0,,,
Gwalior,2022-07-01,26.0,,,,,,,,,,,,,,,,,,,26.0,,,
Gwalior,2022-08-01,27.0,,,,,,,,,,,,,,,,,,,27.0,,,
Gwalior,2022-09-01,26.0,,,,,,,,,,,,,,,,,,,26.0,,,
Gwalior,2022-10-01,26.0,,,,,,,,,,,,,,,,,,,26.0,,,
Gwalior,2022-11-01,26.0,,,,,,,,,,,,,,,,,,,26.0,,,
Hyd Arush,2022-04-01,,,,,,26.0,,,,26.0,26.0,,,,,26.0,,,,26.0,,,
Hyd Arush,2022-05-01,,,,,,26.0,,,,26.0,26.0,,,,,26.0,,,,26.0,,,
Hyd Arush,2022-06-01,,,,,,26.0,,,,26.0,26.0,,,,,26.0,,,,26.0,,,
Hyd Arush,2022-07-01,,,,,,26.0,,,,26.0,26.0,,,,,26.0,,,,26.0,,,
Hyd Arush,2022-08-01,,,,,27.0,,,27.0,,27.0,,,,,,27.0,,,,27.0,,,
Hyd Arush,2022-09-01,,,,,26.0,,,26.0,,26.0,,,,,,26.0,,,,26.0,26.0,,
Hyd Arush,2022-10-01,,,,,26.0,,,26.0,,26.0,,,,,,26.0,,,,26.0,26.0,,
Hyd Arush,2022-11-01,,,,,26.0,,,26.0,,26.0,,,,,,26.0,,,,26.0,26.0,,
Indore,2022-04-01,,,,26.0,,,26.0,26.0,26.0,26.0,26.0,,,26.0,,,,,,26.0,26.0,26.0,
Indore,2022-05-01,,,,26.0,,,26.0,26.0,26.0,26.0,26.0,,,26.0,,,,,,26.0,26.0,26.0,
Indore,2022-06-01,,,,26.0,,,26.0,26.0,26.0,26.0,,,,26.0,,,,,,26.0,26.0,26.0,
Indore,2022-07-01,,,,,,,,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
Indore,2022-08-01,,,,,,,,27.0,27.0,27.0,,,,27.0,,27.0,,,,27.0,27.0,27.0,
Indore,2022-09-01,,,,26.0,,,,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
Indore,2022-10-01,,,,26.0,,,,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
Indore,2022-11-01,,,,26.0,,,,26.0,26.0,26.0,,,,26.0,,26.0,,,,26.0,26.0,26.0,
JP,2022-04-01,,,,,,,26.0,,,26.0,,,,,,26.0,,,,26.0,,,
JP,2022-05-01,,,,,,,26.0,,,26.0,,,,,,26.0,,,,26.0,,,
JP,2022-06-01,,,,,,,26.0,,,26.0,,,,,,26.0,,,,26.0,,,
JP,2022-07-01,,,,,,,26.0,,,26.0,,,,,,26.0,,26.0,,26.0,,,
JP,2022-08-01,,,,,,,27.0,,,27.0,,,,,,27.0,,27.0,,27.0,,,
JP,2022-09-01,,,,,,,26.0,,,26.0,,,,,,26.0,,26.0,,26.0,,26.0,
JP,2022-10-01,,,,,,,26.0,,,26.0,,,,,,26.0,,26.0,,26.0,,26.0,
JP,2022-11-01,,,,,,,26.0,,,26.0,,,,,,26.0,,26.0,,26.0,,26.0,
Jaipur,2022-04-01,,,,,,,26.0,,26.0,26.0,,,,,,26.0,,,,26.0,,,
Jaipur,2022-05-01,,,,,,,26.0,,26.0,26.0,,,,,,26.0,,,,26.0,,,
Jaipur,2022-06-01,,,,,,,26.0,,26.0,26.0,,,,,,26.0,,,,26.0,,,
Jaipur,2022-07-01,,,,,,,26.0,,26.0,26.0,,,,,,26.0,,,,26.0,,,
Jaipur,2022-08-01,,,,,,,27.0,,27.0,27.0,,,,,,27.0,,,,27.0,,,
Jaipur,2022-09-01,,,,,,,26.0,,26.0,26.0,,,,,,26.0,,,26.0,26.0,,,
Jaipur,2022-10-01,,,,,,,26.0,,26.0,26.0,,,,,26.0,26.0,,,26.0,26.0,,,
Jaipur,2022-11-01,,,,,,,26.0,,26.0,26.0,,,,,26.0,26.0,,,,26.0,,,
Jalandhar,2022-04-01,,,,,,,,,,26.0,,,,,,26.0,,,,26.0,,26.0,
Jalandhar,2022-05-01,,,,,,,,,,26.0,,,,,,26.0,,,,26.0,,26.0,
Jalandhar,2022-06-01,,,,,,,,,,26.0,,,,,,26.0,,,,26.0,,26.0,
