unit_name,month,Supervisor,Biker,Van,1.a.i Payment to Outside Agency (Actual),3rd Supervisor Headcount,3rd Biker Headcount,3rd Van Headcount
Chandigarh,2022-05-01,0.0,136274.0,0.0,136274.0,0.0,11.356166666666667,0.0
Chandigarh,2022-06-01,0.0,122338.0,0.0,122338.0,0.0,10.194833333333333,0.0
Chandigarh,2022-07-01,0.0,162245.0,0.0,162245.0,0.0,13.520416666666666,0.0
Chandigarh,2022-08-01,0.0,142677.0,0.0,142677.0,0.0,11.323571428571428,0.0
Chandigarh,2022-09-01,0.0,142957.0,0.0,142957.0,0.0,11.34579365079365,0.0
Chandigarh,2022-10-01,0.0,134582.0,0.0,134582.0,0.0,10.681111111111111,0.0
Chandigarh,2022-11-01,0.0,134582.0,0.0,134582.0,0.0,10.681111111111111,0.0
Chennai,2022-04-01,0.0,735808.0,334427.0,1070235.0,0.0,42.77953488372093,7.238679653679654
Chennai,2022-05-01,0.0,660827.0,334427.0,995254.0,0.0,38.42017441860465,7.238679653679654
Chennai,2022-06-01,0.0,691477.0,339000.0,1030477.0,0.0,40.2021511627907,7.337662337662338
Chennai,2022-07-01,0.0,716719.0,339000.0,1055719.0,0.0,41.66970930232558,7.337662337662338
Chennai,2022-08-01,0.0,724200.0,346273.0,1070473.0,0.0,42.104651162790695,7.49508658008658
Chennai,2022-09-01,0.0,632535.0,150583.0,783118.0,0.0,34.75467032967033,3.2593722943722945
Chennai,2022-10-01,0.0,592962.0,180000.0,772962.0,0.0,32.58032967032967,3.896103896103896
Chennai,2022-11-01,0.0,602944.0,185342.0,788286.0,0.0,33.128791208791206,4.011731601731602
DC,2022-04-01,40000.0,1908646.0,252384.0,2201030.0,0.0,86.75663636363637,6.819826086956522
DC,2022-05-01,29500.0,1387553.0,68600.0,1485653.0,1.9,64.58597272727273,1.4927536231884058
DC,2022-06-01,30500.0,1183484.0,156272.0,1370256.0,1.05,57.658818181818184,3.1148973643410853
DC,2022-07-01,39500.0,1703263.0,147000.0,1889763.0,3.95,82.88514742014743,2.9102325581395347
DC,2022-08-01,40129.0,1737593.0,73234.0,1850956.0,4.0129,84.28217857142857,1.46468
DC,2022-09-01,40145.0,1226339.0,0.0,1266484.0,4.0145,59.87215238095238,0.0
DC,2022-10-01,39833.0,1724462.0,72000.0,1836295.0,3.9833,83.61445952380953,1.44
DC,2022-11-01,39754.835999999996,1279640.3280000002,72000.0,1391395.164,3.9754836,62.44147491428572,1.44
DRK,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRK,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRK,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRK,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRK,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRK,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRK,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRK,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davangere,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davangere,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davangere,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davangere,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davangere,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davangere,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davangere,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davangere,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desai,2022-04-01,0.0,535383.0,0.0,535383.0,0.0,25.49442857142857,0.0
Desai,2022-05-01,10452.0,518079.0,41226.0,569757.0,1.0,24.670428571428573,0.0
Desai,2022-06-01,10452.0,550725.0,41226.0,602403.0,1.0,26.225,1.0
Desai,2022-07-01,11500.0,529525.0,67541.0,608566.0,1.1002678913126673,25.215476190476192,1.6383107747537962
Desai,2022-08-01,11500.0,509762.0,67541.0,588803.0,1.1002678913126673,24.27438095238095,1.6383107747537962
Desai,2022-09-01,10451.5,547138.0,32350.0,589939.5,0.9999521622655951,26.054190476190477,0.7846989763741329
Desai,2022-10-01,10500.0,550615.0,24267.0,585382.0,1.0045924225028702,26.219761904761906,0.588633386697715
Desai,2022-11-01,9405.599999999999,558160.8,20967.0,588533.4,0.8998851894374281,26.579085714285718,0.5085868141464125
Dhanbad,2022-04-01,0.0,39226.0,0.0,39226.0,0.0,4.90325,0.0
Dhanbad,2022-05-01,0.0,53161.0,0.0,53161.0,0.0,4.430083333333333,0.0
Dhanbad,2022-06-01,0.0,64000.0,0.0,64000.0,0.0,5.333333333333333,0.0
Dhanbad,2022-07-01,0.0,40000.0,0.0,40000.0,0.0,5.0,0.0
Dhanbad,2022-08-01,0.0,40000.0,0.0,40000.0,0.0,3.3333333333333335,0.0
Dhanbad,2022-09-01,0.0,82000.0,0.0,82000.0,0.0,6.833333333333333,0.0
Dhanbad,2022-10-01,0.0,61000.0,0.0,61000.0,0.0,5.083333333333333,0.0
Dhanbad,2022-11-01,0.0,61393.200000000004,0.0,61393.200000000004,0.0,5.1161,0.0
Eastern,2022-04-01,0.0,1360233.0,209667.0,1569900.0,0.0,64.773,8.736125
Eastern,2022-05-01,28226.5,1538920.0,107419.0,1674565.5,2.20325,73.28190476190476,4.475791666666667
Eastern,2022-06-01,33532.5,1970823.0,174960.0,2179315.5,3.64075,93.8487142857143,7.29
Eastern,2022-07-01,31917.0,1624532.0,90500.0,1746949.0,3.3917,77.35866666666666,3.7708333333333335
Eastern,2022-08-01,31917.0,1643909.0,90500.0,1766326.0,3.1917,78.28138095238096,3.7708333333333335
Eastern,2022-09-01,21306.5,1667324.0,91645.0,1780275.5,2.13065,79.39638095238095,3.8185416666666665
Eastern,2022-10-01,32915.0,1634334.0,107917.0,1775166.0,3.2915,77.82542857142857,4.496541666666666
Eastern,2022-11-01,29011.199999999997,1798614.0,113774.0,1941399.2,2.9011199999999997,85.64828571428572,4.740583333333333
Gaya,2022-06-01,0.0,19040.0,0.0,19040.0,0.0,1.904,0.0
Gaya,2022-07-01,0.0,30000.0,0.0,30000.0,0.0,3.0,0.0
Gaya,2022-08-01,0.0,16129.0,0.0,16129.0,0.0,1.6129,0.0
Gaya,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaya,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaya,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa,2022-04-01,0.0,62301.0,0.0,62301.0,0.0,4.98408,0.0
Goa,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gurgaon,2022-04-01,20226.0,761661.0,1155184.0,1937071.0,2.0226,38.08305,57.7592
Gurgaon,2022-05-01,20532.0,784814.0,1442513.0,2247859.0,2.0532,39.2407,25.759160714285713
Gurgaon,2022-07-01,20583.0,762300.0,1386983.0,2169866.0,2.0583,38.115,24.76755357142857
Gurgaon,2022-08-01,20226.0,753056.0,1383497.0,2156779.0,2.0226,37.6528,24.705303571428573
Gurgaon,2022-09-01,20532.0,765016.0,1390126.0,2175674.0,2.0532,38.2508,24.823678571428573
Gurgaon,2022-10-01,20266.0,632000.0,1377133.0,2029399.0,2.0266,31.6,24.591660714285716
Gurgaon,2022-11-01,20593.2,583954.8,1395906.0,2000454.0,2.05932,29.197740000000003,24.926892857142857
Guwahati,2022-04-01,11782.0,136533.0,0.0,148315.0,1.0,8.5333125,0.0
Guwahati,2022-05-01,10396.0,110298.0,0.0,120694.0,0.8823629264980478,6.893625,0.0
Guwahati,2022-06-01,10396.0,156576.0,0.0,166972.0,0.8823629264980478,9.786,0.0
Guwahati,2022-07-01,10369.0,129400.0,0.0,139769.0,0.8800712951960618,8.0875,0.0
Guwahati,2022-08-01,10396.0,124516.0,0.0,134912.0,0.8823629264980478,7.78225,0.0
Guwahati,2022-09-01,10396.0,115000.0,0.0,125396.0,0.8823629264980478,7.1875,0.0
Guwahati,2022-10-01,10396.0,115000.0,0.0,125396.0,0.8823629264980478,7.1875,0.0
Guwahati,2022-11-01,11266.8,114000.0,0.0,125266.8,0.9562722797487693,7.125,0.0
Gwalior,2022-04-01,13419.0,65484.0,0.0,86793.3,1.677375,4.516137931034483,0.0
Gwalior,2022-05-01,0.0,91130.0,0.0,91130.0,0.0,6.284827586206896,0.0
Gwalior,2022-06-01,0.0,88500.0,0.0,88500.0,0.0,6.103448275862069,0.0
